,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H7,H7,H7,H7,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H7,H7,H7,G14,G14,H7,H7,H7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H7,H7,G14,G14,G14,G14,G14,G14,H7,H7,,,,,,,,
,,,,,,H7,H7,H7,H7,H7,H7,H7,H7,H7,H7,H7,H7,H7,H7,,,,,,,,,,,,,H7,G14,G14,G14,G14,G14,G14,G14,G14,H7,H7,,,,,,,
,,,,,,H7,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,H7,H7,H7,H7,H7,H7,H7,,,,,,,H7,G14,G14,G14,H7,H7,H7,G14,G14,G14,H7,,,,,,,
,,,,,,H7,G17,H7,H7,H7,H7,H7,H7,H7,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,H7,H7,H7,H7,,,,H7,G14,G14,G14,H7,,H7,G14,G14,G14,H7,,,,,,,
,,,,,,H7,G17,G17,G17,G17,G17,G17,H7,H7,H7,H7,H7,G14,G14,G14,G14,G14,G14,G14,G14,G14,G14,H7,H7,H7,H7,H7,G14,G14,G14,H7,H7,H7,G14,G14,G14,H7,,,,,,,
,,,,,,H7,H7,G17,G17,G17,G17,G17,G17,G17,G17,G17,G17,H7,H7,H7,H7,G14,G14,G14,G14,G14,G14,G14,G14,G14,H7,H7,H7,G14,G14,G14,G14,G14,G14,G14,G14,H7,,,,,,,
,,,,,,,H7,H7,G17,G17,G17,G17,G17,G17,G17,G17,G17,H7,H6,H7,H7,H7,H7,G14,G14,G14,G14,G14,G14,G14,G14,G14,H7,H7,H7,G14,G14,G14,G14,G14,H7,H7,,,,,,,
,,,,,,,,H7,G17,G17,G17,G17,G17,G17,G17,G17,H7,H6,H7,H23,H23,H23,H23,H7,H7,G14,G14,G14,G14,G14,G14,G14,G14,G14,H7,H7,G14,G14,G14,H7,H7,,,,,,,,
,,,,,,,,H7,H7,G17,G17,G17,G17,G17,G17,H7,H6,H7,H23,H23,H23,H23,H23,H23,H7,H7,H7,G14,G14,G14,G14,G14,G14,G14,G14,H7,H7,H7,H7,H7,,,,,,,,,
,,,,,,,,,H7,H7,G17,G17,G17,G17,H7,M15,H7,H2,H2,H2,H2,H23,H23,H23,H23,H23,H7,H7,H7,G14,G14,G14,G14,G14,G14,G14,H7,H7,,,,,,,,,,,
,,,,,,,,,,H7,H7,G17,G17,G17,M15,H7,H2,H7,H7,H2,H2,H2,H2,H2,H23,H23,H23,H23,H23,H7,G14,G14,G14,G14,G14,G14,G14,H7,H7,,,,,,,,,,
,,,,,,,,,,,H7,H7,G17,H7,M15,H7,H2,H7,H7,H2,H2,H2,H2,H7,H2,H23,H23,H23,H23,H7,H7,H7,G14,G14,G14,G14,G14,G14,H7,H7,,,,,,,,,
,,,,,,,,,,,,H7,H7,M15,H7,H2,H7,H7,H2,H2,H2,H2,H7,H7,H7,H2,H2,H23,H23,H7,H5,H5,H7,G14,G14,G14,G14,G14,G14,H7,H7,,,,,,,,
,,,,,,,,,,,,,H7,M15,H7,H2,H7,H7,H2,H2,H2,H2,H7,H7,H7,H2,H2,H2,H2,H7,H5,H5,H5,H7,H7,G14,G14,G14,G14,G14,H7,,,,,,,,
,,,H7,H7,H7,,,,,,,,H7,M15,H7,H2,H2,H2,H2,H2,H2,H2,H7,H7,H7,H2,H2,H2,H2,H7,H5,H5,H5,H5,H7,H7,G14,G14,G14,G14,H7,H7,,,,,,,
,,H7,M15,M15,M15,H7,,,H7,H7,,,H7,M15,H7,H2,H2,H2,H2,H2,H2,H2,H7,H7,H2,H2,H2,H2,H2,H7,M15,H5,H5,H5,H5,H7,H7,G14,G14,G14,G14,H7,,,,,,,
,,H7,M15,H7,M15,H7,,H7,G14,G14,H7,,H7,M15,H7,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H7,H7,M15,M15,H5,H5,H5,H5,H7,H7,G14,G14,G14,H7,H7,,,,,,
,,H7,M15,M15,M15,H7,,H7,G14,G14,H7,,H7,H7,H7,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H7,M15,M15,M15,M15,H5,H5,H5,H7,G17,H7,G14,G14,G14,H7,H7,,,,,
,,,H7,M15,H7,H7,H7,,H7,H7,H7,H7,,H7,H7,H7,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H2,H7,M15,M15,M15,M15,M15,H5,H5,H5,H7,G17,G17,H7,G14,G14,G14,H7,,,,,
,,,H7,M15,H7,H7,H7,H7,G14,G14,H7,H7,H7,,H7,H7,H7,H2,H2,H2,H2,H2,H2,H2,H2,H2,H7,H7,M15,M15,M15,M15,M15,H5,H5,H7,G17,G17,G17,H7,H7,G14,G14,H7,H7,,,,
,,,H7,M15,H7,,H7,H7,G14,G14,H7,H7,H7,H7,H7,M12,H7,H7,H2,H2,H2,H2,H2,H2,H7,H7,M15,M15,M15,M15,M15,M15,M15,M15,H5,H7,G17,G17,G17,G17,H7,H7,G14,G14,H7,,,,
,,,H7,M15,H7,,,H7,G14,G14,H7,,H7,H7,H7,H7,M12,M12,H7,H7,H7,H7,H7,H7,M15,M15,M15,M15,M15,M15,M15,M15,M15,M15,H7,H7,G17,G17,G17,G17,G17,H7,G14,G14,H7,,,,
,,,H7,M15,H7,,H7,H7,G14,G14,H7,H7,,H7,M12,H7,H7,H7,M12,M12,H7,M15,M15,M15,M15,M15,M15,M15,M15,M15,M15,M15,M15,H7,H7,G17,G17,G17,G17,G17,G17,G17,H7,G14,H7,H7,,,
